A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
2,0,0,3,0,0,4,0,0,3,0,0,4,0,0,3,158957512.15203542,0.000590809381699118,5625705.555721665,153331806.59631377
1,0,0,3,0,0,4,0,0,3,0,0,3,0,0,3,161255099.74708444,0.001312016864488,15509185.808527943,145745913.93855652
2,0,0,3,0,0,4,0,0,0,0,0,2,0,0,3,163030648.9039665,0.00168769516233773,23951136.593802646,139079512.31016386
2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,180907793.28839707,0.011550106626474438,96447557.76631752,84460235.52207956
2,0,0,2,0,0,3,0,0,0,0,0,2,0,0,3,179605118.11979124,0.005196865077618455,47755236.792174734,131849881.32761651
1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,3,194971278.2597642,0.007498582360675532,72254992.79482159,122716285.4649426
1,0,0,3,0,0,4,0,0,0,0,0,2,0,0,3,169546387.64126378,0.0024856699586036507,35027177.47404005,134519210.16722372
2,0,0,4,0,0,4,0,0,2,0,0,4,0,0,3,161359519.3796904,0.0002455052251396836,3633166.223352124,157726353.15633827
2,0,0,4,0,0,4,0,0,0,0,0,2,0,0,3,164290167.3409053,0.0011919203283331612,19694780.993630666,144595386.34727466
2,0,0,4,0,0,4,0,0,3,0,0,4,0,0,3,160217030.58897424,9.503454769454933e-05,1369349.955549685,158847680.63342455
2,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,158829949.86204275,0.0004957748340045687,4256355.6001719795,154573594.26187077
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,209984543.46749026,0.019376041608794577,156990354.74600765,52994188.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,296543444.43699235,0.041441540159252284,263848543.34283042,32694901.0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,195059082.82377532,0.01583256256576768,140196363.53080964,54862719.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,285646845.0858246,0.04014090338786686,248391641.84872252,37255203.0
1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,179725144.0985884,0.009854715765394562,97794996.46689135,81930147.0
2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,184162483.47260758,0.014531925794382264,124739462.03670174,59423021.0
1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,182979834.2827989,0.012836534933302389,126086900.73727557,56892933.0
2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,172083234.93163112,0.01153589816191697,110629999.24316767,61453235.0
2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,168828544.7474206,0.008554078994009144,82338094.97278345,86490449.0
2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,170733283.21516117,0.011110254666756282,102959247.21703146,67774035.0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,284296893.3693546,0.039715259892706176,240720889.8225863,43576003.0
2,0,0,4,0,0,4,0,0,4,0,0,5,0,0,3,163389027.58207893,0.0,0.0,163389027.58207893
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,344145425.82013786,0.030470679949175926,323846138.19281715,20299287.0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,329219965.17642283,0.026927200906149033,307052146.9776191,22167818.0
1,0,0,3,0,0,4,0,0,2,0,0,3,0,0,3,162397588.5378006,0.0014624875419331342,17773002.076330382,144624586.0
2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,283343438.5151055,0.039595692618403726,238756155.05848166,44587283.0
2,0,0,0,0,0,3,0,0,2,0,0,1,0,0,3,166525138.17670155,0.008008868224546007,72702608.18254259,93822529.0
2,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3,167478593.03095067,0.008128435498848455,74667342.94664724,92811250.0
2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,4,173849644.03254747,0.003488873246840744,39794415.61398591,134055228.0
0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,327870013.4599529,0.026501557410988343,299381394.9514829,28488618.0
